# w   A_w   G_w   Sigma_w  (D: 1, T: 0.001, U: 3.67, half-filling)
 (-5.000000000000000000e+00+0.000000000000000000e+00j)  (4.415707990463910099e-06+0.000000000000000000e+00j)  (-2.382985873147870914e-01-1.387235578323919931e-05j)  (1.116666813833733007e+00-6.505138785402606115e-05j)
 (-4.950495049504950451e+00+0.000000000000000000e+00j)  (5.532160937606944229e-06+0.000000000000000000e+00j)  (-2.416963087412541955e-01-1.737979616006240141e-05j)  (1.108956208741794125e+00-7.979442953467862012e-05j)
 (-4.901480247034604609e+00+0.000000000000000000e+00j)  (6.915685330581029512e-06+0.000000000000000000e+00j)  (-2.451424294309713092e-01-2.172626622909199968e-05j)  (1.101277770778413156e+00-9.766281902334419561e-05j)
 (-4.852950739638222544e+00+0.000000000000000000e+00j)  (8.626236067849448854e-06+0.000000000000000000e+00j)  (-2.486684745908288863e-01-2.710011985888709907e-05j)  (1.093495767721103906e+00-1.192389633116741350e-04j)
 (-4.804901722414081533e+00+0.000000000000000000e+00j)  (1.073625767620812639e-05+0.000000000000000000e+00j)  (-2.522770208772758260e-01-3.372894824262240255e-05j)  (1.085610706442160289e+00-1.452234959364886687e-04j)
 (-4.757328438033743723e+00+0.000000000000000000e+00j)  (1.333305883968560007e-05+0.000000000000000000e+00j)  (-2.559712420495013907e-01-4.188703970063669963e-05j)  (1.077621060056908719e+00-1.764335679657347831e-04j)
 (-4.710226176271032905e+00+0.000000000000000000e+00j)  (1.652158789997635769e-05+0.000000000000000000e+00j)  (-2.597546525056723121e-01-5.190409917220370289e-05j)  (1.069524574215608537e+00-2.138190546418173232e-04j)
 (-4.663590273535676012e+00+0.000000000000000000e+00j)  (2.042766643089982733e-05+0.000000000000000000e+00j)  (-2.636310222675217751e-01-6.417540678929769616e-05j)  (1.061318733897558264e+00-2.584802529448060565e-04j)
 (-4.617416112411560469e+00+0.000000000000000000e+00j)  (2.520174399932127588e-05+0.000000000000000000e+00j)  (-2.676043872175140059e-01-7.917361380591830605e-05j)  (1.053000803671334529e+00-3.116870300644373213e-04j)
 (-4.571699121199564786e+00+0.000000000000000000e+00j)  (3.102324344975910847e-05+0.000000000000000000e+00j)  (-2.716790179617259993e-01-9.746239371229080645e-05j)  (1.044568028382463432e+00-3.748995770565330811e-04j)
 (-4.526434773464915295e+00+0.000000000000000000e+00j)  (3.810557240406684204e-05+0.000000000000000000e+00j)  (-2.758595028207972977e-01-1.197121863254500048e-04j)  (1.036017386367722226e+00-4.497903267554552009e-04j)
 (-4.481618587589024649e+00+0.000000000000000000e+00j)  (4.670188304205288296e-05+0.000000000000000000e+00j)  (-2.801507154649331977e-01-1.467182926737230122e-04j)  (1.027345803892678155e+00-5.382673898343847589e-04j)
 (-4.437246126325766760e+00+0.000000000000000000e+00j)  (5.711166848845652781e-05+0.000000000000000000e+00j)  (-2.845578071792306263e-01-1.794215981575910063e-04j)  (1.018550261001877733e+00-6.424991049616731852e-04j)
