# w   G_w   Sigma_w    chi_NN_w    chi_SS_w  (D: 1, T: 0.0001, U: 1.88, half-filling)
-4.481618587589024649e+00 1.145251420183707967e-05 -2.371318745383389770e-01 -3.597913448162414217e-05 -3.970931943769873129e-02 -6.082452057200185905e-06 7.151534060505011503e-01 -6.337567318059303834e-04 -4.290647839501213201e-03 -7.517454220648853809e-05 -9.980105208090947651e-04 -1.929118735738664665e-05
-4.437246126325766760e+00 1.270472373370647133e-05 -2.398236272005116743e-01 -3.991306674770013594e-05 -4.016444832380194896e-02 -6.749722176391508704e-06 7.126491528392272512e-01 -6.872050266280772162e-04 -4.396507091121001388e-03 -8.350866967954147636e-05 -1.020852844886943004e-03 -2.130930524882297873e-05
-4.393312996362145562e+00 1.408739476640074216e-05 -2.425537850472928025e-01 -4.425685590634387132e-05 -4.062622468778354090e-02 -7.486829413366887995e-06 7.101100196131056030e-01 -7.447670407440092066e-04 -4.505422951103081955e-03 -9.267033520343925703e-05 -1.044270328022420995e-03 -2.351261042892771635e-05
-4.349814847883312297e+00 1.561368192917142347e-05 -2.453231756149000242e-01 -4.905182844417265288e-05 -4.109479705226348756e-02 -8.300859233359848648e-06 7.075355149726739734e-01 -8.067374599439500844e-04 -4.617481795997227870e-03 -1.027304031816838947e-04 -1.068273723255189905e-03 -2.591518608760577224e-05
-4.306747374141893125e+00 1.729805356241304241e-05 -2.481326718698251277e-01 -5.434343799307956744e-05 -4.157032209109168264e-02 -9.199610516910563390e-06 7.049248466601182317e-01 -8.734314069465433372e-04 -4.732768530559114048e-03 -1.137645910719403924e-04 -1.092873929808560072e-03 -2.853188538955515449e-05
-4.264106311031577334e+00 1.915644496016276810e-05 -2.509831445292368679e-01 -6.018174675574456696e-05 -4.205295658875884968e-02 -1.019167925408689425e-05 7.022777223683529524e-01 -9.451872339611814850e-04 -4.851373835432548631e-03 -1.258536833688467694e-04 -1.118081641087554073e-03 -3.137834447103077777e-05
-4.221887436664927939e+00 2.120637878932416965e-05 -2.538755473027958232e-01 -6.662180381378321904e-05 -4.254287190213368319e-02 -1.128652527409104191e-05 6.995930042954172645e-01 -1.022366099992534898e-03 -4.973387927884358878e-03 -1.390837445146423973e-04 -1.143907629261556053e-03 -3.447099269423145677e-05
-4.180086570955373837e+00 2.346716444189034560e-05 -2.568108281069355070e-01 -7.372427141122632596e-05 -4.304023896273800887e-02 -1.249458113676635979e-05 6.968701549355400537e-01 -1.105356087587388344e-03 -5.098902635059036383e-03 -1.535463297369551712e-04 -1.170362420949025949e-03 -3.782705986251131249e-05
-4.138699575203339975e+00 2.596006239553266844e-05 -2.597899802251745771e-01 -8.155594130853807504e-05 -4.354523697360646040e-02 -1.382734302461489928e-05 6.941084415781438866e-01 -1.194572800349083964e-03 -5.228010734819184616e-03 -1.693386927765781259e-04 -1.197456173018799979e-03 -4.146458009793670867e-05
-4.097722351686475584e+00 2.870849266579009841e-05 -2.628140383268546265e-01 -9.019038965448263219e-05 -4.405805277546104293e-02 -1.529748553784934621e-05 6.913070359512312191e-01 -1.290461710204082084e-03 -5.360805717686690196e-03 -1.865639894401764339e-04 -1.225198806569238090e-03 -4.540239208362809378e-05
